Open,Close,High,Low,Volume,Date
1313.65,1322.32,1326.01,1311.42,,06/02/20
1310.1,1313.63,1315.31,1310.1,,06/01/20
1311.26,1310.09,1311.26,1294.59,,05/29/20
1313.54,1311.3,1321.86,1306.55,,05/28/20
1302.14,1313.54,1316.27,1300.94,,05/27/20
1275.52,1302.22,1302.52,1275.52,,05/26/20
1271.56,1275.48,1281.43,1271.56,,05/25/20
1288.95,1271.32,1288.95,1270.69,,05/22/20
1280.62,1288.94,1293.28,1278.86,,05/21/20
1277.53,1280.58,1282.06,1271.21,,05/20/20
1270.74,1277.65,1285.73,1270.47,,05/19/20
1245.93,1270.75,1271.2,1245.93,,05/18/20
1251.95,1245.92,1259.9,1245.86,,05/15/20
1255.29,1251.9,1257.73,1241.5,,05/14/20
1271.19,1255.28,1271.19,1255.28,,05/13/20
1259.37,1271.17,1272.6,1255.97,,05/12/20
1261.4,1259.35,1278.28,1257.42,,05/11/20
1248.77,1261.45,1267.58,1244.55,,05/08/20
1251.49,1248.74,1255.78,1244.87,,05/07/20
1254.68,1251.46,1261.26,1248.33,,05/06/20
1239.52,1254.67,1258.87,1239.52,,05/05/20
1262.09,1239.49,1262.09,1236.64,,05/04/20
1245.06,1262.13,1269.35,1245.06,,04/30/20
1221.01,1245.1,1245.9,1221.01,,04/29/20
1203.78,1221.05,1223.88,1202.53,,04/28/20
1195.36,1203.77,1209.1,1195.36,,04/27/20
1188.23,1195.4,1199.54,1183.26,,04/24/20
1180.16,1188.15,1189.79,1174.69,,04/23/20
1178.56,1180.19,1184.52,1175.15,,04/22/20
1206.94,1179.05,1206.94,1171.39,,04/21/20
1212.17,1207.02,1218.86,1202.57,,04/20/20
1191.27,1211.13,1212.4,1190.82,,04/17/20
1195.6,1191.18,1207.54,1190.32,,04/16/20
1224.61,1195.53,1224.61,1192.34,,04/15/20
1216.79,1224.56,1229.03,1216.79,,04/14/20
1185.44,1216.64,1217.08,1185.44,,04/09/20
1182.7,1185.43,1193.84,1172.77,,04/08/20
1150.36,1182.7,1213.66,1150.36,,04/07/20
1122.26,1150.35,1157.08,1122.26,,04/06/20
1129.99,1122.4,1131.06,1113.07,,04/03/20
1144.31,1130,1155.53,1124.12,,04/02/20
1165.18,1144.29,1165.18,1134.55,,04/01/20
1143.27,1165.11,1189.34,1143.01,,03/31/20
1147.67,1143.31,1147.67,1123.14,,03/30/20
1170.51,1147.68,1174.1,1147.19,,03/27/20
1158.52,1170.5,1175.15,1151.26,,03/26/20
1134.11,1158.51,1186.72,1134.11,,03/25/20
1088.95,1134.09,1146.98,1088.95,,03/24/20
1117.42,1088.92,1117.42,1079.08,,03/23/20
1087.59,1117.51,1140.91,1087.59,,03/20/20
1094.97,1087.79,1098.98,1074.26,,03/19/20
1142.37,1095.01,1142.37,1094.58,,03/18/20
1146.8,1142.38,1155.53,1114.4,,03/17/20
1207.65,1146.82,1208.06,1099.83,,03/16/20
1153.75,1208.07,1215.41,1147.41,,03/13/20
1303.8,1153.74,1303.8,1147.53,,03/12/20
1342.95,1303.89,1371.01,1294.08,,03/11/20
1325.12,1342.98,1367.48,1324,,03/10/20
1413.61,1325.57,1413.61,1316.01,,03/09/20
1446.07,1413.66,1446.07,1396.06,,03/06/20
1458.9,1446.07,1464.42,1441.83,,03/05/20
1448.21,1458.84,1467.11,1442.1,,03/04/20
1403.7,1448.2,1454.97,1401.19,,03/03/20
1372.02,1403.69,1410.79,1372.02,,03/02/20
1445.95,1372.09,1445.95,1370.29,,02/28/20
1461.73,1445.94,1464.53,1435.95,,02/27/20
1444.49,1461.72,1465.32,1416.36,,02/26/20
1482.96,1444.43,1490.26,1444.43,,02/25/20
1533.36,1482.92,1533.36,1478.9,,02/24/20
1536.61,1533.58,1542.4,1526.8,,02/21/20
1549.94,1536.6,1550.6,1535.44,,02/20/20
1542.17,1549.96,1551.74,1540.59,,02/19/20
1542.46,1542.18,1551.03,1531.82,,02/18/20
1534.14,1542.37,1549.64,1534.14,,02/17/20
1522.74,1534.16,1543.93,1522.74,,02/14/20
1518.37,1522.66,1528.83,1514.25,,02/13/20
1516.1,1518.28,1525.36,1514.89,,02/12/20
1510.45,1516.09,1518.74,1510.45,,02/11/20
1511.77,1510.43,1523.02,1510,,02/10/20
1508.92,1511.72,1512.13,1490.62,,02/07/20
1506.21,1508.81,1519.6,1503.78,,02/06/20
1496.39,1506.18,1511.23,1493.09,,02/05/20
1482.39,1496.35,1497.77,1482.39,,02/04/20
1481.28,1482.37,1488.98,1475.02,,02/03/20
1492.48,1481.34,1500.6,1481.24,,01/31/20
1477.4,1492.42,1493.69,1471.11,,01/30/20
1478.55,1477.36,1482.62,1475.24,,01/29/20
1487.43,1478.54,1489.83,1476.38,,01/28/20
1503.05,1487.33,1503.05,1483.19,,01/27/20
1508.56,1503,1513.92,1501.55,,01/24/20
1502.33,1508.54,1509.33,1494.26,,01/23/20
1492.28,1502.46,1504.34,1492.28,,01/22/20
1490.39,1492.28,1496.78,1478.4,,01/21/20
1480.67,1490.35,1491.13,1475.6,,01/20/20
1485.51,1480.66,1489.52,1472.57,,01/17/20
1507.9,1485.49,1510.94,1483.57,,01/16/20
1516.76,1507.86,1521.83,1505.34,,01/15/20
1520.89,1516.71,1527.05,1515.92,,01/14/20
1508.88,1520.81,1522.87,1505.18,,01/13/20
1501.01,1508.85,1514.43,1501.01,,01/10/20
1486.21,1501.02,1502.25,1486.21,,01/09/20
